#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aachen_adj;Aachener;;;;;;;;;;;;;x
c_aalst_adj;Aalster;;;;;;;;;;;;;x
c_aargau_adj;Aargauer;aargauer;;;;;;;;;;;;x
c_acre_adj_greek;Ptolemaian;Ptolemais;;;;;;;;;;;;x
c_acre_adj_levantine_arabic;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_maghreb_arabic;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_masmuda;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_sanhaja;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_sicilian_arabic;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_tagelmust;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_tuareg;Akkan;Akka;;;;;;;;;;;;x
c_acre_adj_zanata;Akkan;Akka;;;;;;;;;;;;x
c_adana_adj_oghuz;Atanán;Ataná;;;;;;;;;;;;x
c_adana_adj_turkish;Atanán;Ataná;;;;;;;;;;;;x
c_adana_adj_turkmen;Atanán;Ataná;;;;;;;;;;;;x
c_adramyttion_adj;Aiolían;Aiolía;;;;;;;;;;;;x
c_adramyttion_adj_oghuz;Edremitan;Edremit;;;;;;;;;;;;x
c_adramyttion_adj_turkish;Edremitan;Edremit;;;;;;;;;;;;x
c_adramyttion_adj_turkmen;Edremitan;Edremit;;;;;;;;;;;;x
c_adrianopolis_adj;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_alan;Hadrianopolitan;Hadrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_aragonese;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_arberian;Hadrianopolitan;Hadrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_armenian;Hadrianopolitan;Hadrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_arpitan;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_basque;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_castillan;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_central_italian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_corsican;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_danish;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_english;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_frankish;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_georgian;Hadrianopolitan;Hadrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_german;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_gothic;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_greek;Hadrianopolitan;Hadrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_hungarian;Drinápolyi;;;;;;;;;;;;;x
c_adrianopolis_adj_italian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_leonese;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_ligurian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_neapolitan;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_norman;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_norwegian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_occitan;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_oghuz;Edirnean;Edirne;;;;;;;;;;;;x
c_adrianopolis_adj_sardinian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_sicilian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_southern_italian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_swedish;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_szekely;Drinápolyi;;;;;;;;;;;;;x
c_adrianopolis_adj_turkish;Edirnean;Edirne;;;;;;;;;;;;x
c_adrianopolis_adj_turkmen;Edirnean;Edirne;;;;;;;;;;;;x
c_adrianopolis_adj_tuscan;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adrianopolis_adj_venetian;Adrianopolitan;Adrianopolis;;;;;;;;;;;;x
c_adulis_adj;Aduli;;;;;;;;;;;;;x
c_agades_adj;Agadí;;;;;;;;;;;;;x
c_agder_adj;Agðir;;;;;;;;;;;;;x
c_agrigento_adj;Agrigentine;;;;;;;;;;;;;x
c_ahwaz_adj;Ahwazi;;;;;;;;;;;;;x
c_ainazawa_adj;Azáwí;;;;;;;;;;;;;x
c_aintab_adj_andalusian_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_aintab_adj_bedouin_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_aintab_adj_egyptian_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_aintab_adj_frankish;Hamtaban;Hamtab;;;;;;;;;;;;x
c_aintab_adj_levantine_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_aintab_adj_maghreb_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_aintab_adj_norman;Hamtaban;Hamtab;;;;;;;;;;;;x
c_aintab_adj_sicilian_arabic;Ayn Taban;Ayn Tab;;;;;;;;;;;;x
c_ajadabiya_adj;Ajadabí;;;;;;;;;;;;;x
c_ajadabiya_adj_greek;Corniclanian;Corniclanum;;;;;;;;;;;;x
c_ajayameru_adj;Ajayameri;;;;;;;;;;;;;x
c_akershus_adj;Vingulmörkr;;;;;;;;;;;;;x
c_akhyraous_adj;Mysian;Mysia;;;;;;;;;;;;x
c_akhyraous_adj_frankish;Mysian;Mysia;;;;;;;;;;;;x
c_akhyraous_adj_norman;Mysian;Mysia;;;;;;;;;;;;x
c_akhyraous_adj_oghuz;Karasian;Karasi;;;;;;;;;;;;x
c_akhyraous_adj_turkish;Karasian;Karasi;;;;;;;;;;;;x
c_akhyraous_adj_turkmen;Karasian;Karasi;;;;;;;;;;;;x
c_akjoujt_adj;Akjoujtí;;;;;;;;;;;;;x
c_al_alamayn_adj;Sullumí;;;;;;;;;;;;;x
c_al_alamayn_adj_greek;Paraitonian;Paraitonion;;;;;;;;;;;;x
c_al_bichri_adj_greek;Kirkesian;Kirkesion;;;;;;;;;;;;x
c_al_djazair_adj;Jazairí;;;;;;;;;;;;;x
c_al_jazira_adj;Jazírat ibn 'Umaran;Jazírat ibn 'Umar;;;;;;;;;;;;x
c_al_jazira_adj_assyrian;Gziran;Gzira;;;;;;;;;;;;x
c_al_jazira_adj_greek;Bethzabdan;Bethzabde;;;;;;;;;;;;x
c_al_jazira_adj_kurdish;Cizîran;Cizîr;;;;;;;;;;;;x
c_al_jazira_adj_oghuz;Cizran;Cizre;;;;;;;;;;;;x
c_al_jazira_adj_turkish;Cizran;Cizre;;;;;;;;;;;;x
c_al_jazira_adj_turkmen;Cizran;Cizre;;;;;;;;;;;;x
c_alania_adj;Alanian;;;;;;;;;;;;;x
c_alania_adj_afghan;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_andalusian_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_armenian;Alaunian;;;;;;;;;;;;;x
c_alania_adj_avar;As;;;;;;;;;;;;;x
c_alania_adj_baloch;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_bashkir;As;;;;;;;;;;;;;x
c_alania_adj_bedouin_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_bolghar;As;;;;;;;;;;;;;x
c_alania_adj_cuman;As;;;;;;;;;;;;;x
c_alania_adj_daylamite;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_egyptian_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_georgian;Ovset'ian;;;;;;;;;;;;;x
c_alania_adj_karluk;As;;;;;;;;;;;;;x
c_alania_adj_khalaj;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_khavar;As;;;;;;;;;;;;;x
c_alania_adj_khazar;As;;;;;;;;;;;;;x
c_alania_adj_khwarezmi;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_kirghiz;As;;;;;;;;;;;;;x
c_alania_adj_kurdish;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_levantine_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_maghreb_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_masmuda;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_mongol;As;;;;;;;;;;;;;x
c_alania_adj_oghuz;As;;;;;;;;;;;;;x
c_alania_adj_pahlavi;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_pecheneg;As;;;;;;;;;;;;;x
c_alania_adj_persian;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_qufs;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_sanhaja;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_sicilian_arabic;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_sogdian;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_tagelmust;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_tajik;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_tuareg;Al-Lanian;;;;;;;;;;;;;x
c_alania_adj_turkish;As;;;;;;;;;;;;;x
c_alania_adj_turkmen;As;;;;;;;;;;;;;x
c_alania_adj_uyghur;As;;;;;;;;;;;;;x
c_alania_adj_zanata;Al-Lanian;;;;;;;;;;;;;x
c_alava_adj;Alavesa;;;;;;;;;;;;;x
c_albi_adj;Albino;;;;;;;;;;;;;x
c_alcaraz_adj;Alcaraceña;;;;;;;;;;;;;x
c_alencon_adj;Alenconan;;;;;;;;;;;;;x
c_aleppo_adj_frankish;Halapian;Halapia;;;;;;;;;;;;x
c_aleppo_adj_greek;Berroian;Berroia;;;;;;;;;;;;x
c_aleppo_adj_norman;Halapian;Halapia;;;;;;;;;;;;x
c_alexandretta_adj;Alexandrouan;Alexandrou;;;;;;;;;;;;x
c_alexandretta_adj_andalusian_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_armenian;Aleksandrettan;Aleksandret;;;;;;;;;;;;x
c_alexandretta_adj_bedouin_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_egyptian_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_frankish;Alexandrettan;Alexandrette;;;;;;;;;;;;x
c_alexandretta_adj_levantine_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_maghreb_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_masmuda;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_norman;Alexandrettan;Alexandrette;;;;;;;;;;;;x
c_alexandretta_adj_oghuz;Iskenderian;Iskenderun;;;;;;;;;;;;x
c_alexandretta_adj_sanhaja;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_sicilian_arabic;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_tagelmust;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_tuareg;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandretta_adj_turkish;Iskenderian;Iskenderun;;;;;;;;;;;;x
c_alexandretta_adj_turkmen;Iskenderian;Iskenderun;;;;;;;;;;;;x
c_alexandretta_adj_zanata;Iskandarian;Iskandarun;;;;;;;;;;;;x
c_alexandria_adj;Iskandarí;;;;;;;;;;;;;x
c_alife_adj;Alifan;;;;;;;;;;;;;x
c_allaqi_adj;Allaqí;;;;;;;;;;;;;x
c_altmark_adj;Altmarker;;;;;;;;;;;;;x
c_alvito_adj;Alvito;;;;;;;;;;;;;x
c_alwa_adj;Alwanan;;;;;;;;;;;;;x
c_amadiya_adj;Amadiyan;Amadiyah;;;;;;;;;;;;x
c_amadiya_adj_armenian;Korchaykan;Korchayk;;;;;;;;;;;;x
c_amadiya_adj_greek;Corduenan;Corduene;;;;;;;;;;;;x
c_amadiya_adj_kurdish;Kardoxi;;;;;;;;;;;;;x
c_amalfi_adj;Almalfitan;;;;;;;;;;;;;x
c_amasia_adj;Amaseian;Amaseia;;;;;;;;;;;;x
c_amasia_adj_frankish;Amaséan;Amasée;;;;;;;;;;;;x
c_amasia_adj_norman;Amaséan;Amasée;;;;;;;;;;;;x
c_amasia_adj_oghuz;Amásiyyan;Amásiyya;;;;;;;;;;;;x
c_amasia_adj_turkish;Amásiyyan;Amásiyya;;;;;;;;;;;;x
c_amasia_adj_turkmen;Amásiyyan;Amásiyya;;;;;;;;;;;;x
c_amastris_adj;Amastrian;Amastris;;;;;;;;;;;;x
c_amastris_adj_oghuz;Amasran;Amasra;;;;;;;;;;;;x
c_amastris_adj_turkish;Amasran;Amasra;;;;;;;;;;;;x
c_amastris_adj_turkmen;Amasran;Amasra;;;;;;;;;;;;x
c_amhara_adj;Amharan;;;;;;;;;;;;;x
c_amida_adj_andalusian_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_armenian;Tigranokertan;Tigranokerta;;;;;;;;;;;;x
c_amida_adj_bedouin_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_egyptian_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_kurdish;Amedian;Amed;;;;;;;;;;;;x
c_amida_adj_levantine_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_maghreb_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_oghuz;Diyar-i Bekrian;;;;;;;;;;;;;x
c_amida_adj_sicilian_arabic;Ámidan;Ámid;;;;;;;;;;;;x
c_amida_adj_turkish;Diyar-i Bekrian;;;;;;;;;;;;;x
c_amida_adj_turkmen;Diyar-i Bekrian;;;;;;;;;;;;;x
c_amisos_adj_oghuz;Canikan;Canik;;;;;;;;;;;;x
c_amisos_adj_turkish;Canikan;Canik;;;;;;;;;;;;x
c_amisos_adj_turkmen;Canikan;Canik;;;;;;;;;;;;x
c_amman_adj_frankish;Ahamantan;;;;;;;;;;;;;x
c_amman_adj_greek;Philadelpheian;Philadelpheia;;;;;;;;;;;;x
c_amman_adj_norman;Ahamantan;;;;;;;;;;;;;x
c_amorion_adj;Amorian;Amorion;;;;;;;;;;;;x
c_amorion_adj_oghuz;Amúriyyan;Amúriyye;;;;;;;;;;;;x
c_amorion_adj_turkish;Amúriyyan;Amúriyye;;;;;;;;;;;;x
c_amorion_adj_turkmen;Amúriyyan;Amúriyye;;;;;;;;;;;;x
c_anamur_adj;Anemourian;Anemourion;;;;;;;;;;;;x
c_anamur_adj_andalusian_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_armenian;Stalemuran;Stalemura;;;;;;;;;;;;x
c_anamur_adj_bedouin_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_egyptian_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_frankish;Stallimurian;Stallimuri;;;;;;;;;;;;x
c_anamur_adj_levantine_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_maghreb_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_norman;Stallimurian;Stallimuri;;;;;;;;;;;;x
c_anamur_adj_oghuz;Anamurian;Anamur;;;;;;;;;;;;x
c_anamur_adj_sicilian_arabic;Ma'muriyan;Ma'muriya;;;;;;;;;;;;x
c_anamur_adj_turkish;Anamurian;Anamur;;;;;;;;;;;;x
c_anamur_adj_turkmen;Anamurian;Anamur;;;;;;;;;;;;x
c_ancona_adj;Anconitan;;;;;;;;;;;;;x
c_andechs_adj;Andechser;;;;;;;;;;;;;x
c_andria_adj;Andrian;;;;;;;;;;;;;x
c_anglesey_adj;Ynys Moneg;;;;;;;;;;;;;x
c_angot_adj;Angoti;;;;;;;;;;;;;x
c_anhalt_adj;Anhalter;;;;;;;;;;;;;x
c_ani_adj_georgian;Anisian;Anisi;;;;;;;;;;;;x
c_ani_adj_greek;Anian;Anion;;;;;;;;;;;;x
c_ani_adj_kurdish;Anîan;Anî;;;;;;;;;;;;x
c_ankyra_adj_oghuz;Engüriyyan;Engüriyye;;;;;;;;;;;;x
c_ankyra_adj_turkish;Engüriyyan;Engüriyye;;;;;;;;;;;;x
c_ankyra_adj_turkmen;Engüriyyan;Engüriyye;;;;;;;;;;;;x
c_annaba_adj;Annábí;;;;;;;;;;;;;x
c_annaba_adj_greek;Hippo Regian;Hippo Regius;;;;;;;;;;;;x
c_annaba_adj_roman;Hippo Regian;Hippo Regius;;;;;;;;;;;;x
c_anti-atlas_adj;Tinmallalí;;;;;;;;;;;;;x
c_antibes_adj;Antibolenc;antibolenca;;;;;;;;;;;;x
c_antiocheia_adj_andalusian_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_armenian;Antiokan;Antiok;;;;;;;;;;;;x
c_antiocheia_adj_bedouin_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_egyptian_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_levantine_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_maghreb_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_masmuda;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_oghuz;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_sanhaja;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_sicilian_arabic;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_tagelmust;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_tuareg;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_turkish;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_turkmen;Antakiyan;Antakiya;;;;;;;;;;;;x
c_antiocheia_adj_zanata;Antakiyan;Antakiya;;;;;;;;;;;;x
c_aosta_adj;Valdotain;valdotaine;;;;;;;;;;;;x
c_aoudaghost_adj;Awdaghustí;;;;;;;;;;;;;x
c_aprutium_adj;Aprutian;;;;;;;;;;;;;x
c_apulia_adj;Apulian;;;;;;;;;;;;;x
c_aquileia_adj;Aquileian;;;;;;;;;;;;;x
c_aquino_adj;Aquinati;;;;;;;;;;;;;x
c_araouane_adj;Arawání;;;;;;;;;;;;;x
c_arbanon_adj;Arbanian;Arbanon;;;;;;;;;;;;x
c_arbanon_adj_arberian;Arbërian;Arbër;;;;;;;;;;;;x
c_arbanon_adj_oghuz;Arvanidian;Arvanid;;;;;;;;;;;;x
c_arbanon_adj_turkish;Arvanidian;Arvanid;;;;;;;;;;;;x
c_arbanon_adj_turkmen;Arvanidian;Arvanid;;;;;;;;;;;;x
c_arborea_adj;Arborean;;;;;;;;;;;;;x
c_arcadia_adj;Arcadian;Arkadian;Arkadian;;Arkadian;;;;;;;;;x
c_arcadia_adj_central_italian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_corsican;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_dalmatian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_frankish;Arcadian;Arcadie;;;;;;;;;;;;x
c_arcadia_adj_greek;Arkadian;;;;;;;;;;;;;x
c_arcadia_adj_italian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_ligurian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_neapolitan;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_norman;Arcadian;Arcadie;;;;;;;;;;;;x
c_arcadia_adj_oghuz;Tripolitan;Tripoliçe;;;;;;;;;;;;x
c_arcadia_adj_sardinian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_sicilian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_southern_italian;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_turkish;Tripolitan;Tripoliçe;;;;;;;;;;;;x
c_arcadia_adj_turkmen;Tripolitan;Tripoliçe;;;;;;;;;;;;x
c_arcadia_adj_tuscan;Arcadian;Arcadia;;;;;;;;;;;;x
c_arcadia_adj_venetian;Arcadian;Arcadia;;;;;;;;;;;;x
c_archa_adj_andalusian_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archa_adj_bedouin_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archa_adj_egyptian_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archa_adj_frankish;Apaméan;Apamée;;;;;;;;;;;;x
c_archa_adj_greek;Apameian;Apameia;;;;;;;;;;;;x
c_archa_adj_levantine_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archa_adj_maghreb_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archa_adj_norman;Apaméan;Apamée;;;;;;;;;;;;x
c_archa_adj_sicilian_arabic;Fámiean;Fámieh;;;;;;;;;;;;x
c_archelais_adj;Archelaïsan;Archelaïs;;;;;;;;;;;;x
c_archelais_adj_oghuz;Ak Sarayan;Ak Saray;;;;;;;;;;;;x
c_archelais_adj_turkish;Ak Sarayan;Ak Saray;;;;;;;;;;;;x
c_archelais_adj_turkmen;Ak Sarayan;Ak Saray;;;;;;;;;;;;x
c_archreims_adj;Rémois;rémoise;;;;;;;;;;;;x
c_arezzo_adj;Arezzan;;;;;;;;;;;;;x
c_arghiyan_adj;Arghiyani;;;;;;;;;;;;;x
c_argyll_adj;Earra Ghaidhealeach;;;;;;;;;;;;;x
c_arigh_adj;Aríghí;;;;;;;;;;;;;x
c_arlon_adj;Arlonian;;;;;;;;;;;;;x
c_arnsberg_adj;Arnsberger;;;;;;;;;;;;;x
c_aror_adj;Rohri;;;;;;;;;;;;;x
c_arrajan_adj;Arrajani;;;;;;;;;;;;;x
c_arran_adj;Arranian;;;;;;;;;;;;;x
c_arta_adj_central_italian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_corsican;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_dalmatian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_frankish;Arthean;Arthe;;;;;;;;;;;;x
c_arta_adj_greek;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_italian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_ligurian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_neapolitan;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_norman;Arthean;Arthe;;;;;;;;;;;;x
c_arta_adj_oghuz;Nardan;Narda;;;;;;;;;;;;x
c_arta_adj_sardinian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_sicilian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_southern_italian;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_turkish;Nardan;Narda;;;;;;;;;;;;x
c_arta_adj_turkmen;Nardan;Narda;;;;;;;;;;;;x
c_arta_adj_tuscan;Artan;Arta;;;;;;;;;;;;x
c_arta_adj_venetian;Artan;Arta;;;;;;;;;;;;x
c_artaani_adj;Artaanian;Artaani;;;;;;;;;;;;x
c_artaani_adj_armenian;Ardahani;Ardahan;;;;;;;;;;;;x
c_artaani_adj_oghuz;Ardahani;Ardahan;;;;;;;;;;;;x
c_artaani_adj_turkish;Ardahani;Ardahan;;;;;;;;;;;;x
c_artaani_adj_turkmen;Ardahani;Ardahan;;;;;;;;;;;;x
c_artois_adj;Artesian;;;;;;;;;;;;;x
c_artsakh_adj;Artsakhian;;;;;;;;;;;;;x
c_artsakh_adj_armenian;Khachenian;;;;;;;;;;;;;x
c_artsakh_adj_oghuz;Artsahian;Artsah;;;;;;;;;;;;x
c_artsakh_adj_pecheneg;Artsahian;Artsah;;;;;;;;;;;;x
c_artsakh_adj_turkish;Artsahian;Artsah;;;;;;;;;;;;x
c_artsakh_adj_turkmen;Artsahian;Artsah;;;;;;;;;;;;x
c_asas_adj_greek;Kallinikan;Kallinikos;;;;;;;;;;;;x
c_ashli_adj;Ashlian;Ashli;Ashli;;Ashli;;;;;;;;;x
c_ashli_adj_avar;Ishlëian;Ishlë;Ishlë;;Ishlë;;;;;;;;;x
c_ashli_adj_bohemian;Oshelian;Oshel;Oshel;;Oshel;;;;;;;;;x
c_ashli_adj_bolghar;Ishlëian;Ishlë;Ishlë;;Ishlë;;;;;;;;;x
c_ashli_adj_bosnian;Oshelian;Oshel;Oshel;;Oshel;;;;;;;;;x
c_ashli_adj_bulgarian;Oshelian;Oshel;Oshel;;Oshel;;;;;;;;;x
c_ashli_adj_carantanian;Oshelian;Oshel;Oshel;;Oshel;;;;;;;;;x
c_ashli_adj_croatian;Oshelian;Oshel;Oshel;;Oshel;;;;;;;;;x
c_ashli_adj_khavar;Ishlëian;Ishlë;Ishlë;;Ishlë;;;;;;;;;x
c_ashli_adj_khazar;Ishlëian;Ishlë;Ishlë;;Ishlë;;;;;;;;;x
